三重県	3491.0
京都府	2967.0
佐賀県	3579.0
兵庫県	2507.0
北海道	3979.0
千葉県	4257.0
和歌山県	1795.0
埼玉県	4607.0
大分県	3663.0
大阪府	2638.5
奈良県	2931.0
宮城県	4775.0
宮崎県	3242.0
富山県	4185.0
山口県	3127.0
山形県	5395.0
山梨県	4422.0
岐阜県	3475.0
岡山県	2907.0
岩手県	5639.0
島根県	3038.0
広島県	2943.0
徳島県	2168.0
愛媛県	2616.0
愛知県	3201.0
新潟県	4388.0
東京都	4009.0
栃木県	5124.0
沖縄県	2782.0
滋賀県	3491.0
熊本県	4293.0
石川県	3821.0
神奈川県	4152.666666666667
福井県	3557.0
福岡県	3742.5
福島県	6092.0
秋田県	4837.0
群馬県	5529.0
茨城県	5434.0
長野県	4900.0
長﨑県	3358.0
青森県	5064.0
静岡県	3876.0
香川県	2354.0
高知県	2444.0
鳥取県	2849.0
鹿児島県	3567.0
